Activity Period;Operating Airline;Operating Airline IATA Code;Published Airline;Published Airline IATA Code;GEO Summary;GEO Region;Landing Aircraft Type;Aircraft Body Type;Aircraft Manufacturer;Aircraft Model;Aircraft Version;Landing Count;Total Landed Weight
200507;United Airlines - Pre 07/01/2013;UA;United Airlines - Pre 07/01/2013;UA;Domestic;US;Passenger;Narrow Body;Boeing;737;300;410;46,740,000
200507;United Airlines - Pre 07/01/2013;UA;United Airlines - Pre 07/01/2013;UA;International;Canada;Passenger;Narrow Body;Boeing;737;322;124;14,136,000
200507;United Airlines - Pre 07/01/2013;UA;United Airlines - Pre 07/01/2013;UA;Domestic;US;Passenger;Narrow Body;Boeing;737;500;88;9,680,000
200507;United Airlines - Pre 07/01/2013;UA;United Airlines - Pre 07/01/2013;UA;Domestic;US;Passenger;Wide Body;Boeing;747;422;39;24,570,000
200507;United Airlines - Pre 07/01/2013;UA;United Airlines - Pre 07/01/2013;UA;International;Asia;Passenger;Wide Body;Boeing;747;422;155;97,650,000
200507;United Airlines - Pre 07/01/2013;UA;United Airlines - Pre 07/01/2013;UA;International;Australia / Oceania;Passenger;Wide Body;Boeing;747;422;31;19,530,000
200507;United Airlines - Pre 07/01/2013;UA;United Airlines - Pre 07/01/2013;UA;International;Europe;Passenger;Wide Body;Boeing;747;422;31;19,530,000
200507;United Airlines - Pre 07/01/2013;UA;United Airlines - Pre 07/01/2013;UA;Domestic;US;Passenger;Narrow Body;Boeing;757;;1,298;257,004,000
200507;United Airlines - Pre 07/01/2013;UA;United Airlines - Pre 07/01/2013;UA;International;Mexico;Passenger;Narrow Body;Boeing;757;;5;990,000
200507;United Airlines - Pre 07/01/2013;UA;United Airlines - Pre 07/01/2013;UA;Domestic;US;Passenger;Wide Body;Boeing;767;300;173;51,900,000
200507;United Airlines - Pre 07/01/2013;UA;United Airlines - Pre 07/01/2013;UA;International;Europe;Passenger;Wide Body;Boeing;767;300;31;9,300,000
200507;United Airlines - Pre 07/01/2013;UA;United Airlines - Pre 07/01/2013;UA;Domestic;US;Passenger;Wide Body;Boeing;767;322;85;27,200,000
200507;United Airlines - Pre 07/01/2013;UA;United Airlines - Pre 07/01/2013;UA;International;Asia;Passenger;Wide Body;Boeing;777;222;93;42,780,000
200507;United Airlines - Pre 07/01/2013;UA;United Airlines - Pre 07/01/2013;UA;International;Europe;Passenger;Wide Body;Boeing;777;222;62;28,520,000
200507;United Airlines - Pre 07/01/2013;UA;United Airlines - Pre 07/01/2013;UA;Domestic;US;Passenger;Wide Body;Boeing;777;222B;61;28,060,000
200507;United Airlines - Pre 07/01/2013;UA;United Airlines - Pre 07/01/2013;UA;Domestic;US;Passenger;Wide Body;Boeing;777;;99;44,055,000
200507;United Airlines - Pre 07/01/2013;UA;United Airlines - Pre 07/01/2013;UA;Domestic;US;Passenger;Narrow Body;Airbus;A319;131;691;95,219,800
200507;United Airlines - Pre 07/01/2013;UA;United Airlines - Pre 07/01/2013;UA;Domestic;US;Passenger;Narrow Body;Airbus;A320;232;872;123,998,400
200507;United Airlines - Pre 07/01/2013;UA;United Airlines - Pre 07/01/2013;UA;International;Canada;Passenger;Narrow Body;Airbus;A320;232;31;4,408,200
200507;United Airlines - Pre 07/01/2013;UA;United Airlines - Pre 07/01/2013;UA;International;Mexico;Passenger;Narrow Body;Airbus;A320;232;36;5,119,200
200507;Virgin Atlantic;VS;Virgin Atlantic;VS;International;Europe;Passenger;Wide Body;Boeing;747;400;31;19,530,000
200507;WestJet Airlines;WS;WestJet Airlines;WS;International;Canada;Passenger;Narrow Body;Boeing;737;700;21;2,713,200
200507;WestJet Airlines;WS;WestJet Airlines;WS;International;Canada;Passenger;Narrow Body;Boeing;737;800;1;146,300
200508;ABX Air;GB;ABX Air;GB;Domestic;US;Freighter;Narrow Body;McDonnell Douglas;DC-9;30;41;4,144,000
200508;ABX Air;GB;ABX Air;GB;Domestic;US;Freighter;Narrow Body;McDonnell Douglas;DC-9;41;4;408,000
200508;ATA Airlines;TZ;ATA Airlines;TZ;Domestic;US;Passenger;Narrow Body;Boeing;737;800;1;146,300
200508;ATA Airlines;TZ;ATA Airlines;TZ;Domestic;US;Passenger;Narrow Body;Boeing;757;200;3;594,000
200508;ATA Airlines;TZ;ATA Airlines;TZ;Domestic;US;Passenger;Narrow Body;Boeing;757;300;159;35,616,000
200508;Air Canada;AC;Air Canada;AC;International;Canada;Passenger;Narrow Body;Airbus;A319;114;173;23,268,500
200508;Air Canada;AC;Air Canada;AC;International;Canada;Passenger;Narrow Body;Airbus;A320;211;129;18,318,000
200508;Air Canada;AC;Air Canada;AC;International;Canada;Passenger;Narrow Body;Airbus;A321;211;1;171,520
200508;Air China;CA;Air China;CA;International;Asia;Passenger;Wide Body;Boeing;747;400;16;10,080,000
200508;Air France;AF;Air France;AF;International;Europe;Passenger;Wide Body;Boeing;747;400;31;18,815,700
200508;Air New Zealand;NZ;Air New Zealand;NZ;International;Australia / Oceania;Passenger;Wide Body;Boeing;747;400;13;8,190,000
200508;AirTran Airways;FL;AirTran Airways;FL;Domestic;US;Passenger;Narrow Body;Boeing;737;700;62;7,936,000
200508;Alaska Airlines;AS;Alaska Airlines;AS;Domestic;US;Passenger;Narrow Body;Boeing;737;400;298;36,058,000
200508;Alaska Airlines;AS;Alaska Airlines;AS;International;Canada;Passenger;Narrow Body;Boeing;737;400;31;3,751,000
200508;Alaska Airlines;AS;Alaska Airlines;AS;International;Mexico;Passenger;Narrow Body;Boeing;737;400;89;10,769,000
200508;Alaska Airlines;AS;Alaska Airlines;AS;Domestic;US;Passenger;Narrow Body;Boeing;737;700;35;4,522,000
200508;Alaska Airlines;AS;Alaska Airlines;AS;International;Canada;Passenger;Narrow Body;Boeing;737;700;1;129,200
200508;Alaska Airlines;AS;Alaska Airlines;AS;International;Mexico;Passenger;Narrow Body;Boeing;737;700;1;129,200
200508;Alaska Airlines;AS;Alaska Airlines;AS;Domestic;US;Passenger;Narrow Body;Boeing;737;900;1;146,300
200508;Alaska Airlines;AS;Alaska Airlines;AS;International;Mexico;Passenger;Narrow Body;McDonnell Douglas;MD-80;93;3;390,000
200508;Alaska Airlines;AS;Alaska Airlines;AS;Domestic;US;Passenger;Narrow Body;McDonnell Douglas;MD-80;;37;4,810,000
200508;Alaska Airlines;AS;Alaska Airlines;AS;International;Canada;Passenger;Narrow Body;McDonnell Douglas;MD-80;;60;7,800,000
200508;All Nippon Airways;NH;All Nippon Airways;NH;International;Asia;Passenger;Wide Body;Boeing;777;200ER;31;14,260,000
200508;American Airlines;AA;American Airlines;AA;Domestic;US;Passenger;Narrow Body;Boeing;757;;200;39,600,000
200508;American Airlines;AA;American Airlines;AA;Domestic;US;Passenger;Wide Body;Boeing;767;200;62;16,740,000
200508;American Airlines;AA;American Airlines;AA;Domestic;US;Passenger;Wide Body;Boeing;767;300;184;57,040,000
200508;American Airlines;AA;American Airlines;AA;Domestic;US;Passenger;Narrow Body;McDonnell Douglas;MD-80;83;286;37,180,000
200508;American Airlines;AA;American Airlines;AA;Domestic;US;Passenger;Narrow Body;McDonnell Douglas;MD-80;SP;396;51,480,000
200508;American Eagle Airlines;MQ;American Airlines;AA;Domestic;US;Passenger;Regional Jet;Embraer;ERJ;140;149;6,153,700
200508;Ameriflight;A8;Ameriflight;A8;Domestic;US;Freighter;Turbo Prop;Piper;CHIEFTAIN;;1;7,000
200508;Ameriflight;A8;Ameriflight;A8;Domestic;US;Freighter;Turbo Prop;Swearingen;SA-227;AC;20;280,000
200508;Ameriflight;A8;Ameriflight;A8;Domestic;US;Freighter;Turbo Prop;Swearingen;SA-227;AT;5;77,500
200508;Asiana Airlines;OZ;Asiana Airlines;OZ;International;Asia;Freighter;Wide Body;Boeing;747;400;2;1,332,000
200508;Asiana Airlines;OZ;Asiana Airlines;OZ;International;Asia;Passenger;Wide Body;Boeing;777;200ER;14;6,440,000
200508;Astar Air Cargo;ER;Astar Air Cargo;ER;Domestic;US;Freighter;Wide Body;Airbus;A300;;23;6,794,660
200508;Astar Air Cargo;ER;Astar Air Cargo;ER;Domestic;US;Freighter;Wide Body;McDonnell Douglas;DC-8;73;21;5,775,000
200508;Astar Air Cargo;ER;Astar Air Cargo;ER;Domestic;US;Freighter;Turbo Prop;Swearingen;SA-227;L;22;293,040
200508;Atlantic Southeast Airlines;EV;Delta Air Lines;DL;Domestic;US;Passenger;Regional Jet;Bombardier;CRJ;700;24;1,608,000
200508;BelAir Airlines;BBB;BelAir Airlines;BBB;International;Europe;Passenger;Wide Body;Boeing;767;300;4;1,400,000
200508;Boeing Company;;Boeing Company;;International;Asia;Passenger;Wide Body;Boeing;777;200;1;350,000
200508;British Airways;BA;British Airways;BA;International;Europe;Passenger;Wide Body;Boeing;747;400;60;37,800,000
200508;Cargolux Airlines ;CV;Cargolux Airlines ;CV;International;Europe;Freighter;Wide Body;Boeing;747;400;9;5,994,000
200508;Cathay Pacific;CX;Cathay Pacific;CX;International;Asia;Freighter;Wide Body;Boeing;747;400;17;11,322,000
200508;Cathay Pacific;CX;Cathay Pacific;CX;International;Asia;Passenger;Wide Body;Boeing;747;400;31;19,530,000
200508;China Airlines;CI;China Airlines;CI;International;Asia;Passenger;Wide Body;Boeing;747;400;40;25,200,000
200508;China Airlines;CI;China Airlines;CI;International;Asia;Freighter;Wide Body;Boeing;747;;28;18,648,000
200508;China Cargo Airlines;CK;China Cargo Airlines;CK;International;Asia;Freighter;Wide Body;McDonnell Douglas;MD-11;;12;5,658,000
200508;Delta Air Lines;DL;Delta Air Lines;DL;Domestic;US;Passenger;Narrow Body;Boeing;737;800;159;22,896,000
200508;Delta Air Lines;DL;Delta Air Lines;DL;Domestic;US;Passenger;Narrow Body;Boeing;757;;200;39,600,000
200508;Delta Air Lines;DL;Delta Air Lines;DL;Domestic;US;Passenger;Wide Body;Boeing;767;200;49;13,230,000
200508;Delta Air Lines;DL;Delta Air Lines;DL;Domestic;US;Passenger;Wide Body;Boeing;767;300;73;21,535,000
200508;Delta Air Lines;DL;Delta Air Lines;DL;Domestic;US;Passenger;Wide Body;Boeing;767;300ER;11;3,520,000
200508;Delta Air Lines;DL;Delta Air Lines;DL;Domestic;US;Passenger;Wide Body;Boeing;767;400;62;21,700,000
200508;EVA Airways;BR;EVA Airways;BR;International;Asia;Combi;Wide Body;Boeing;747;400;52;32,708,000
200508;EVA Airways;BR;EVA Airways;BR;International;Asia;Freighter;Wide Body;McDonnell Douglas;MD-11;;1;471,500
200508;Federal Express;FX;Federal Express;FX;Domestic;US;Freighter;Wide Body;McDonnell Douglas;DC-10;10;48;18,000,000
200508;Federal Express;FX;Federal Express;FX;Domestic;US;Freighter;Wide Body;McDonnell Douglas;DC-10;30;1;436,000
200508;Federal Express;FX;Federal Express;FX;Domestic;US;Freighter;Wide Body;McDonnell Douglas;MD-11;;21;10,111,500
200508;Frontier Airlines;F9;Frontier Airlines;F9;Domestic;US;Passenger;Narrow Body;Airbus;A318;;14;1,729,000
200508;Frontier Airlines;F9;Frontier Airlines;F9;Domestic;US;Passenger;Narrow Body;Airbus;A319;;149;20,040,500
200508;Hawaiian Airlines;HA;Hawaiian Airlines;HA;Domestic;US;Passenger;Wide Body;Boeing;767;300;31;9,920,000
200508;Horizon Air ;QX;Alaska Airlines;AS;Domestic;US;Passenger;Regional Jet;Bombardier;CRJ;700;93;6,231,000
